transact_date,transact_cbidpx,transact_cvalue,transact_caskpx,ticker,stkpx,expirdate,yte,strike,cvolu,coi,pvolu,poi,cbidpx,cvalue,caskpx,pbidpx,pvalue,paskpx,cbidiv,cmidiv,caskiv,smoothsmvvol,pbidiv,pmidiv,paskiv,irate,divrate,residualratedata,delta,gamma,theta,vega,rho,phi,driftlesstheta,extvol,extctheo,extptheo,spot_px,trade_date,period_pnl,stoplossdate,stoplosstrigered,cumulative_pnl
2019-02-14,0.49,0.52,0.51,EEM,42.95,2019-03-29,0.00000,43.50,148,10860,42,1961,0.00,0.00,0.01,0.53,0.55,0.55,0.00000,0.34953,0.69906,0.13606,0.00000,0.14996,0.29993,0.02430,0.00000,-2.424392,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.135911,0.0000,0.5500,NULL,2019-03-29,0.52,NULL,NULL,6.41
2019-03-01,0.45,0.46,0.46,EEM,44.56,2019-04-18,0.00000,44.00,11411,223636,9504,108239,0.54,0.56,0.64,0.00,0.00,0.01,0.00000,0.66099,1.32198,0.09532,0.00000,0.35333,0.70666,0.02440,0.00000,0.000000,1.000000,0.000000,-0.002941,0.000000,0.000060,-0.000061,0.000000,0.108244,0.5601,0.0000,NULL,2019-04-18,-0.10,NULL,NULL,6.31
2019-03-29,0.33,0.35,0.37,EEM,44.05,2019-05-10,0.09863,44.50,520,582,1,1,0.68,0.69,0.70,1.03,1.04,1.06,0.15159,0.15344,0.15528,0.15286,0.15093,0.15371,0.15649,0.02440,0.00000,-0.000016,0.445112,0.187675,-0.012922,0.054277,0.018666,-0.019344,-0.011656,0.145146,0.6450,0.9987,NULL,2019-04-04,-0.34,2019-04-05,False,5.97
2019-04-05,0.32,0.33,0.33,EEM,40.32,2019-05-17,0.00000,46.00,40,247283,0,17450,0.00,0.00,0.01,5.65,5.68,5.70,0.00000,0.00000,0.00000,0.17326,0.00000,0.00000,0.00000,0.02390,0.00000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.183013,0.0000,5.6800,NULL,2019-05-17,0.33,NULL,NULL,6.30
2019-04-18,0.34,0.36,0.36,EEM,40.77,2019-05-31,0.00000,46.00,0,860,0,0,0.00,0.00,0.03,5.20,5.23,5.25,0.00000,0.00000,0.00000,0.14782,0.00000,0.00000,0.00000,0.02350,0.00000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.150517,0.0000,5.2300,NULL,2019-05-31,0.36,NULL,NULL,6.66
2019-05-06,0.49,0.50,0.52,EEM,42.83,2019-06-21,0.00000,44.50,225,26705,300,869,0.00,0.00,0.01,1.67,1.67,1.71,0.00000,0.86661,1.73322,0.34737,0.29995,1.29381,2.28768,0.02160,0.00000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.310139,0.0000,1.6700,NULL,2019-06-21,0.50,NULL,NULL,7.16
2019-05-16,0.54,0.55,0.57,EEM,42.83,2019-06-28,0.00000,42.00,164,29353,62,9052,0.81,0.83,0.85,0.00,0.00,0.01,0.00000,0.58486,1.16972,0.29039,0.00000,0.50362,1.00724,0.02180,0.00000,0.000000,1.000000,0.000000,-0.002509,0.000000,0.000058,-0.000059,0.000000,0.287194,0.8301,0.0000,NULL,2019-06-28,-0.28,NULL,NULL,6.88
2019-05-24,0.48,0.50,0.50,EEM,41.25,2019-07-05,0.07671,41.00,227,9076,29,90,0.84,0.85,0.87,0.80,0.78,0.82,0.17549,0.17880,0.18212,0.17736,0.18243,0.18464,0.18686,0.02300,0.00000,-0.035765,0.526831,0.198222,-0.017710,0.045291,0.015935,-0.016536,-0.014367,0.159780,0.7688,0.6980,NULL,2019-06-07,-0.35,2019-06-10,False,6.53
2019-05-31,0.52,0.50,0.54,EEM,41.94,2019-07-19,0.08493,42.00,843,33182,6912,27721,0.87,0.87,0.88,0.83,0.84,0.85,0.17478,0.17581,0.17683,0.17510,0.17220,0.17426,0.17631,0.02220,0.00000,-0.004224,0.516453,0.186968,-0.015317,0.048746,0.017662,-0.018402,-0.013812,0.150702,0.7526,0.7254,NULL,2019-06-18,-0.37,2019-06-19,False,6.16
2019-06-11,0.53,0.53,0.55,EEM,42.72,2019-07-26,0.00000,43.00,80,13224,4603,11860,0.00,0.01,0.01,0.29,0.29,0.30,0.00000,0.21602,0.43205,0.48174,0.43316,0.48193,0.53070,0.02130,0.00000,0.000000,0.123636,0.850214,-0.493595,0.001038,0.000007,-0.000007,-0.493288,0.478427,0.0144,0.2943,NULL,2019-07-26,0.52,NULL,NULL,6.68
2019-06-28,0.39,0.42,0.42,EEM,39.95,2019-08-09,0.00000,44.50,0,1825,0,0,0.00,0.00,0.01,4.50,4.55,4.60,0.00000,0.00000,0.00000,0.19318,0.00000,0.00000,0.00000,0.02050,0.00000,-2.397558,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.195612,0.0000,4.5500,NULL,2019-08-09,0.42,NULL,NULL,7.10
2019-07-05,0.44,0.44,0.45,EEM,39.59,2019-08-16,0.00000,44.00,5,185381,0,5388,0.00,0.00,0.01,4.40,4.42,4.45,0.00000,0.00000,0.00000,0.16365,0.00000,0.00000,0.00000,0.02050,0.00000,1.250120,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.150919,0.0000,4.4100,NULL,2019-08-16,0.44,NULL,NULL,7.54
2019-07-19,0.39,0.40,0.41,EEM,40.11,2019-08-30,0.00000,44.00,0,1079,0,0,0.00,0.00,0.02,3.85,3.89,3.90,0.00000,0.00000,0.00000,0.20094,0.00000,1.90892,3.81785,0.02100,0.00000,-0.882785,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.178746,0.0000,3.8900,NULL,2019-08-30,0.40,NULL,NULL,7.94
2019-08-06,0.36,0.37,0.37,EEM,41.66,2019-09-20,0.02466,41.50,708,57376,1754,26974,0.54,0.60,0.55,0.34,0.41,0.36,0.16640,0.16835,0.17030,0.19013,0.16478,0.16868,0.17257,0.02010,0.00000,-0.016735,0.569102,0.317004,-0.029577,0.025677,0.005704,-0.005852,-0.027245,0.140461,0.4736,0.2777,NULL,2019-09-11,-0.23,2019-09-12,False,7.71
2019-08-12,0.46,0.49,0.48,EEM,41.34,2019-09-30,0.05479,41.00,18,7428,700,43118,0.83,0.84,0.84,0.44,0.45,0.45,0.15994,0.16129,0.16264,0.16169,0.15949,0.16084,0.16219,0.02040,0.00000,-0.002100,0.606297,0.246857,-0.016602,0.037014,0.013282,-0.013741,-0.015109,0.155937,0.8152,0.4269,NULL,2019-09-10,-0.35,2019-09-11,False,7.36
2019-09-04,0.43,0.45,0.44,EEM,42.03,2019-10-18,0.09863,42.00,318,112773,550,63019,0.88,0.85,0.89,0.76,0.73,0.77,0.15506,0.15602,0.15697,0.14986,0.15484,0.15580,0.15675,0.01950,0.00000,-0.003504,0.534531,0.201779,-0.012328,0.052474,0.021323,-0.022165,-0.010966,0.138009,0.7905,0.6718,NULL,2019-09-12,-0.40,2019-09-13,False,6.96
2019-09-09,0.47,0.45,0.50,EEM,42.69,2019-10-25,0.00000,42.50,3107,16407,5191,6019,0.18,0.19,0.22,0.00,0.00,0.01,0.00000,0.24287,0.48575,0.15732,0.00000,0.16445,0.32890,0.01730,0.00000,0.000000,0.992640,0.258942,-0.017998,0.000098,0.000058,-0.000058,-0.015999,0.148736,0.1902,0.0001,NULL,2019-10-25,0.26,NULL,NULL,7.22
2019-09-16,0.33,0.35,0.35,EEM,43.22,2019-11-01,0.00000,43.50,41,6424,2,259,0.00,0.00,0.01,0.28,0.28,0.30,0.00000,0.21355,0.42710,0.34837,0.17224,0.34831,0.52439,0.01580,0.00000,0.000000,0.056374,0.644982,-0.200404,0.000613,0.000003,-0.000003,-0.200299,0.123204,0.0000,0.2800,NULL,2019-11-01,0.35,NULL,NULL,7.57
2019-10-02,0.37,0.37,0.38,EEM,41.08,2019-11-15,0.09863,42.00,15418,77562,598,17869,0.49,0.46,0.50,1.35,1.32,1.37,0.16309,0.16414,0.16519,0.15661,0.16278,0.16489,0.16700,0.01680,0.00000,0.000707,0.346927,0.183254,-0.010997,0.047767,0.013623,-0.014077,-0.010389,0.154887,0.4508,1.3126,NULL,2019-10-10,-0.09,2019-10-11,False,7.48
2019-10-04,0.43,0.42,0.45,EEM,42.69,2019-11-22,0.07671,42.50,1222,10440,4459,1641,0.80,0.79,0.82,0.55,0.55,0.57,0.14145,0.14361,0.14576,0.14037,0.14124,0.14339,0.14555,0.01730,0.00000,-0.001808,0.568174,0.237675,-0.012919,0.046366,0.018030,-0.018641,-0.011691,0.138579,0.7867,0.5377,NULL,2019-10-25,-0.37,2019-10-28,False,7.11
