transact_date,transact_cbidpx,transact_cvalue,transact_caskpx,ticker,stkpx,expirdate,yte,strike,cvolu,coi,pvolu,poi,cbidpx,cvalue,caskpx,pbidpx,pvalue,paskpx,cbidiv,cmidiv,caskiv,smoothsmvvol,pbidiv,pmidiv,paskiv,irate,divrate,residualratedata,delta,gamma,theta,vega,rho,phi,driftlesstheta,extvol,extctheo,extptheo,spot_px,trade_date,period_pnl,stoplossdate,stoplosstrigered,cumulative_pnl
2016-11-10,0.78,0.79,0.84,MSFT,62.10,2016-12-23,0.03014,60.00,55,1124,56,299,2.28,2.29,2.32,0.18,0.18,0.19,0.19615,0.20368,0.21121,0.19984,0.20079,0.20266,0.20452,0.00420,0.00000,-0.005319,0.845276,0.110842,-0.024689,0.026807,0.015142,-0.015832,-0.023380,0.212966,2.8588,0.1257,NULL,2016-12-12,-1.50,2016-12-13,False,5.14
2016-12-02,0.62,0.63,0.64,MSFT,62.10,2017-01-13,0.08767,61.50,10,1673,25,21,1.60,1.64,1.67,0.97,1.00,1.02,0.17171,0.17657,0.18143,0.17716,0.17295,0.17642,0.17989,0.00510,0.00000,-0.003400,0.588658,0.119933,-0.020696,0.072040,0.030618,-0.032056,-0.019883,0.191884,2.1287,0.8684,NULL,2016-12-12,-1.01,2016-12-13,False,4.13
2016-12-08,0.80,0.65,0.81,MSFT,62.57,2017-01-20,0.00000,62.50,23549,82068,3561,14841,0.07,0.08,0.11,0.01,0.02,0.01,0.21158,0.41135,0.61112,0.34301,0.27467,0.27467,0.27467,0.00460,0.00000,-0.002909,0.737521,3.190175,-2.013624,0.000968,0.000011,-0.000011,-2.012677,0.180092,0.6907,0.0000,NULL,2017-01-20,0.57,NULL,NULL,4.70
2016-12-14,0.81,0.82,0.85,MSFT,65.70,2017-01-27,0.00000,66.00,6964,4813,1626,615,0.01,0.00,0.01,0.28,0.30,0.30,0.71902,0.71902,0.71902,0.30436,0.00000,0.27476,0.54952,0.00490,0.00000,0.000000,0.000876,0.031087,-0.017030,0.000008,0.000000,0.000000,-0.017030,1.535890,0.4248,0.0648,NULL,2017-01-27,0.82,NULL,NULL,5.52
2017-01-03,0.91,0.91,0.92,MSFT,64.44,2017-02-17,0.00000,65.00,3789,34784,936,4887,0.01,0.00,0.01,0.56,0.56,0.57,1.17245,1.17245,1.17245,0.22915,0.29996,0.14998,0.00000,0.00500,0.00000,-4.714921,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.660577,0.1356,0.0444,NULL,2017-02-17,0.91,NULL,NULL,6.43
2017-01-11,0.72,0.75,0.75,MSFT,64.44,2017-02-24,0.00000,66.00,4,801,83,115,0.00,0.00,0.01,1.56,1.56,1.58,0.00000,1.34578,2.69156,0.26641,0.00000,0.00000,0.00000,0.00400,0.00000,0.004003,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.686843,0.0000,0.9207,NULL,2017-02-24,0.75,NULL,NULL,7.18
2017-01-27,0.49,0.44,0.52,MSFT,64.99,2017-03-17,0.00000,67.50,258,16679,22,931,0.00,0.00,0.01,2.49,2.53,2.51,0.00000,1.98360,3.96719,0.27659,0.00000,0.00000,0.00000,0.00710,0.00000,9.999999,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.116712,0.0000,1.8819,NULL,2017-03-17,0.44,NULL,NULL,7.62
2017-02-09,0.61,0.63,0.64,MSFT,65.14,2017-03-24,0.00000,65.50,1760,3644,2153,973,0.01,0.01,0.03,0.29,0.37,0.45,0.77436,0.92153,1.06870,0.68065,0.00000,0.00000,0.00000,0.00730,0.00000,-0.020863,0.058103,0.508465,-1.369529,0.000407,0.000001,-0.000001,-1.369237,0.126826,0.2914,0.0000,NULL,2017-03-24,0.62,NULL,NULL,8.24
2017-03-17,0.54,0.55,0.58,MSFT,67.79,2017-04-28,0.00548,67.50,2092,9374,1181,1004,1.42,1.42,1.44,1.13,1.12,1.14,0.63297,0.63797,0.64296,0.63106,0.63467,0.63717,0.63967,0.00740,0.00000,-0.002122,0.546260,0.125408,-0.315329,0.020017,0.001961,-0.002039,-0.314400,0.279658,1.1769,0.2055,NULL,2017-04-26,-0.87,2017-04-27,False,7.37
2017-04-05,0.84,0.79,0.85,MSFT,67.60,2017-05-19,0.00000,67.50,1466,3155,957,22864,0.10,0.11,0.12,0.01,0.01,0.03,0.09329,0.26596,0.43864,0.34892,0.33029,0.43188,0.53348,0.00710,0.00000,0.020987,0.813382,2.391107,-1.820256,0.000901,0.000011,-0.000011,-1.822044,0.173450,0.7760,0.0000,NULL,2017-05-19,0.68,NULL,NULL,8.05
2017-05-05,0.62,0.60,0.63,MSFT,69.96,2017-06-16,0.04110,70.00,1222,56013,1011,5114,0.75,0.76,0.77,0.76,0.77,0.78,0.13296,0.13472,0.13649,0.13495,0.13324,0.13501,0.13678,0.00820,0.00000,-0.003857,0.504107,0.209239,-0.026687,0.056607,0.014190,-0.014503,-0.025547,0.143950,1.2123,0.5202,NULL,2017-06-01,-0.16,2017-06-02,False,7.89
2017-05-19,0.67,0.69,0.70,MSFT,69.96,2017-06-30,0.07945,69.50,34,901,6,99,1.37,1.41,1.43,0.85,0.87,0.89,0.13770,0.14159,0.14547,0.14254,0.13942,0.14201,0.14460,0.00980,0.00000,-0.004318,0.583856,0.139290,-0.020500,0.077206,0.031345,-0.032464,-0.018975,0.150473,1.9051,0.6711,NULL,2017-06-01,-0.72,2017-06-02,False,7.17
2017-06-02,0.70,0.71,0.71,MSFT,73.30,2017-07-21,0.00000,75.00,24058,67696,10985,24172,0.01,0.00,0.01,1.70,1.70,1.71,2.33717,2.33717,2.33717,0.61688,0.00000,0.00000,0.00000,0.01000,0.00000,-7.425736,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.043630,0.0011,0.9721,NULL,2017-07-21,0.71,NULL,NULL,7.88
2017-07-07,0.80,0.83,0.82,MSFT,73.07,2017-08-18,0.08493,72.50,1854,22398,521,2482,2.20,2.24,2.23,1.77,1.83,1.78,0.23343,0.23520,0.23698,0.23856,0.23129,0.23189,0.23248,0.01070,0.00000,-0.030383,0.547512,0.078313,-0.036785,0.084364,0.032058,-0.033806,-0.032537,0.190681,2.2688,1.1218,NULL,2017-07-18,-1.41,2017-07-19,False,6.47
