transact_date,transact_pbidpx,transact_pvalue,transact_paskpx,ticker,stkpx,expirdate,yte,strike,cvolu,coi,pvolu,poi,cbidpx,cvalue,caskpx,pbidpx,pvalue,paskpx,cbidiv,cmidiv,caskiv,smoothsmvvol,pbidiv,pmidiv,paskiv,irate,divrate,residualratedata,delta,gamma,theta,vega,rho,phi,driftlesstheta,extvol,extctheo,extptheo,spot_px,trade_date,period_pnl,stoplossdate,stoplosstrigered,cumulative_pnl
2017-03-03,0.28,0.30,0.29,XLF,24.35,2017-04-21,0.08767,24.00,871,94921,17941,87119,0.63,0.63,0.65,0.23,0.25,0.26,0.14234,0.14611,0.14988,0.14344,0.13744,0.14308,0.14873,0.00760,0.00000,-0.010647,0.655309,0.357403,-0.006739,0.026519,0.013439,-0.013994,-0.005973,0.145743,0.8080,0.1771,NULL,2017-03-20,0.05,2017-03-21,False,2.81
2017-02-10,0.64,0.45,0.68,XLF,23.82,2017-03-31,0.00000,24.00,412,52903,673,8431,0.01,0.00,0.01,0.17,0.19,0.18,1.40823,1.40823,1.40823,0.19680,0.00000,0.00000,0.00000,0.00740,0.00000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.800913,0.0692,0.0161,NULL,2017-03-31,0.26,NULL,NULL,2.76
2017-05-04,0.20,0.23,0.21,XLF,23.78,2017-06-16,0.08493,23.00,1218,22183,1675,108269,0.91,0.91,0.92,0.13,0.15,0.14,0.15513,0.15755,0.15997,0.15603,0.14729,0.14968,0.15207,0.00900,0.00000,0.020651,0.773786,0.286224,-0.004790,0.020628,0.010804,-0.011290,-0.005219,0.144954,1.0849,0.0819,NULL,2017-05-16,0.08,2017-05-17,False,3.24
2017-05-16,0.20,0.23,0.23,XLF,23.78,2017-06-30,0.12329,23.00,10,431,500,3145,0.94,0.97,1.00,0.20,0.23,0.23,0.14594,0.15682,0.16770,0.15867,0.14685,0.15234,0.15784,0.00900,0.00000,-0.019230,0.725773,0.252933,-0.006172,0.027264,0.020051,-0.021179,-0.004915,0.152422,1.1387,0.1578,NULL,2017-05-16,0.00,2017-05-17,False,3.24
2017-04-05,0.32,0.35,0.33,XLF,23.31,2017-05-19,0.00000,23.00,1306,52637,5891,166675,0.29,0.31,0.31,0.01,0.00,0.01,0.00000,0.00000,0.00000,0.37417,2.10990,2.10990,2.10990,0.00710,0.00000,0.000000,1.000000,0.000000,-0.000447,0.000000,0.000005,-0.000005,0.000000,1.134320,0.5431,0.0000,NULL,2017-05-19,0.35,NULL,NULL,3.16
2017-06-07,0.27,0.28,0.28,XLF,24.79,2017-07-21,0.00000,23.00,114,6472,1,119956,1.78,1.79,1.79,0.00,0.00,0.01,0.00000,0.00000,0.00000,0.43803,0.00000,0.00000,0.00000,0.01000,0.00000,0.000000,1.000000,0.000000,-0.000630,0.000000,0.000006,-0.000007,0.000000,1.452710,2.0329,0.0000,NULL,2017-07-21,0.28,NULL,NULL,3.52
2017-06-30,0.24,0.28,0.25,XLF,24.67,2017-08-18,0.00000,24.00,459,12380,156,72099,0.64,0.67,0.67,0.01,0.00,0.01,0.00000,0.00000,0.00000,0.36646,3.35862,3.35862,3.35862,0.00970,0.00000,0.000000,1.000000,0.000000,-0.000638,0.000000,0.000006,-0.000007,0.000000,0.189904,0.9167,0.0000,NULL,2017-08-18,0.28,NULL,NULL,3.80
2017-09-01,0.26,0.29,0.27,XLF,24.30,2017-10-20,0.12055,24.00,700,34879,24160,106332,0.67,0.67,0.68,0.42,0.43,0.44,0.16062,0.16214,0.16367,0.16200,0.15924,0.16229,0.16534,0.01070,0.00000,-0.010344,0.583784,0.287561,-0.006835,0.032783,0.016226,-0.017023,-0.006059,0.167330,0.8410,0.3517,NULL,2017-09-06,-0.14,2017-09-07,False,3.89
2017-07-28,0.20,0.23,0.21,XLF,24.76,2017-09-15,0.00000,24.00,254,562,11,107262,0.76,0.76,0.77,0.01,0.00,0.01,0.00000,0.00000,0.00000,0.43803,0.00000,0.00000,0.00000,0.00980,0.00000,0.000000,1.000000,0.000000,-0.000644,0.000000,0.000001,-0.000001,0.000000,4.000000,1.0076,0.0000,NULL,2017-09-15,0.23,NULL,NULL,4.03
2017-09-29,0.24,0.28,0.25,XLF,26.15,2017-11-17,0.00000,25.00,173,35262,2,115471,1.14,1.15,1.15,0.00,0.00,0.01,0.00000,0.00000,0.00000,0.43803,0.00000,0.00000,0.00000,0.01080,0.00000,0.000000,1.000000,0.000000,-0.000740,0.000000,0.000001,-0.000001,0.000000,0.188996,1.4065,0.0000,NULL,2017-11-17,0.28,NULL,NULL,4.17
