transact_date,transact_pbidpx,transact_pvalue,transact_paskpx,ticker,stkpx,expirdate,yte,strike,cvolu,coi,pvolu,poi,cbidpx,cvalue,caskpx,pbidpx,pvalue,paskpx,cbidiv,cmidiv,caskiv,smoothsmvvol,pbidiv,pmidiv,paskiv,irate,divrate,residualratedata,delta,gamma,theta,vega,rho,phi,driftlesstheta,extvol,extctheo,extptheo,spot_px,trade_date,period_pnl,stoplossdate,stoplosstrigered,cumulative_pnl
2017-10-19,1.51,1.57,1.56,UVXY,14.24,2017-12-01,0.00000,14.00,16172,7408,16731,4367,0.25,0.24,0.28,0.01,0.00,0.02,0.00000,0.00000,0.00000,0.43803,0.00000,0.00000,0.00000,0.01140,0.00000,0.000000,1.000000,0.000000,-0.000437,0.000000,0.000001,-0.000001,0.000000,1.619200,0.3824,0.0000,NULL,2017-12-01,1.57,NULL,NULL,-32.03
2017-10-30,1.28,1.71,1.33,UVXY,10.38,2017-12-15,0.00000,13.00,341,8254,793,5957,0.01,0.00,0.01,2.62,2.62,2.73,0.00000,0.00000,0.00000,0.17418,0.29938,0.14969,0.00000,0.01240,0.00000,0.000617,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.937890,0.0000,2.5162,NULL,2017-12-15,-0.91,NULL,NULL,-32.94
2017-11-10,1.63,1.52,1.74,UVXY,10.05,2017-12-22,0.00000,14.00,3,2910,50,4943,0.01,0.00,0.01,3.90,3.95,4.00,0.00000,0.00000,0.00000,0.17418,0.00000,0.00000,0.00000,0.01150,0.00000,0.005219,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.104400,0.0000,3.8495,NULL,2017-12-22,-2.43,NULL,NULL,-35.37
2017-11-16,1.59,1.66,1.69,UVXY,10.17,2017-12-29,0.00000,14.00,37,2332,73,4697,0.01,0.00,0.01,3.80,3.83,4.00,0.00000,0.00000,0.00000,0.17418,0.00000,0.00000,0.00000,0.01280,0.00000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.423140,0.0000,3.7287,NULL,2017-12-29,-2.17,NULL,NULL,-37.54
2017-12-06,1.47,1.50,1.49,UVXY,9.33,2018-01-19,0.00000,12.00,416,4679,407,3477,0.01,0.00,0.01,2.64,2.67,2.75,0.00000,0.00000,0.00000,0.17418,0.00000,0.00000,0.00000,0.01280,0.00000,-0.064617,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.064650,0.0000,2.5818,NULL,2018-01-19,-1.17,NULL,NULL,-38.71
2017-12-22,1.06,1.09,1.11,UVXY,13.95,2018-02-02,0.00000,9.00,175,589,4012,9160,4.30,4.95,5.00,0.00,0.00,0.01,0.00000,0.00000,0.00000,0.43823,0.00000,0.00000,0.00000,0.01400,0.00000,0.000000,1.000000,0.000000,-0.000345,0.000000,0.000000,-0.000001,0.000000,2.006670,5.0895,0.0000,NULL,2018-02-02,1.09,NULL,NULL,-37.62
2018-01-04,1.00,1.26,1.01,UVXY,16.07,2018-02-16,0.00000,8.00,34,488,50,5598,7.80,8.07,8.70,0.00,0.00,0.01,0.00000,0.00000,0.00000,0.43823,0.00000,0.00000,0.00000,0.01350,0.00000,-0.035961,1.000000,0.000000,-0.001084,0.000000,0.000000,-0.000001,0.000000,2.491060,8.2307,0.0000,NULL,2018-02-16,1.26,NULL,NULL,-36.36
2018-01-09,0.73,0.98,0.83,UVXY,14.92,2018-02-23,0.00000,7.50,6,555,10,823,7.35,7.42,7.65,0.00,0.00,0.04,0.00000,0.00000,0.00000,0.43823,0.00000,0.00000,0.00000,0.01380,0.00000,0.002936,1.000000,0.000000,-0.000164,0.000000,0.000000,-0.000001,0.000000,2.204560,7.5692,0.0000,NULL,2018-02-23,0.98,NULL,NULL,-35.38
2018-01-17,0.97,1.13,1.06,UVXY,17.63,2018-03-02,0.00000,8.00,13,13,21,1798,9.40,9.63,10.05,0.00,0.00,0.02,0.00000,0.00000,0.00000,0.43823,0.00000,0.00000,0.00000,0.01500,0.00000,0.000000,1.000000,0.000000,-0.000329,0.000000,0.000000,-0.000001,0.000000,1.964660,9.8063,0.0000,NULL,2018-03-02,1.13,NULL,NULL,-34.25
2018-02-01,1.24,1.25,1.25,UVXY,14.17,2018-03-16,0.00000,9.00,120,383,1,8106,5.00,5.17,5.20,0.00,0.00,0.01,0.00000,0.00000,0.00000,0.43823,0.00000,0.00000,0.00000,0.01710,0.00000,0.000000,1.000000,0.000000,-0.000422,0.000000,0.000000,-0.000001,0.000000,1.197630,5.3094,0.0000,NULL,2018-03-16,1.25,NULL,NULL,-33.00
